#CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
tut_2b_15;От политической системы зависит, как строятся заводы. Например, в рыночной экономике заводы строят только ваши капиталисты. Но в принятой сейчас в Бельгии системе заводы могут строить и капиталисты, и игрок. Строительство новых заводов - хороший способ развить экономику. Нажмите кнопку 'Построить завод' в Бельгийской Валлонии.;X;X;X;X;X;X
tut_6a_13;Чтобы повысить промышленное производство Бельгии, нам нужно больше ремесленников. Щелкните по значку рабочего, чтобы установить этот приоритет.;X;X;X;X;X;X
tut_1b_19;Сейчас мы назначим генерала на должность вручную. Для этого выберите свою дивизию в Спа.;X;X;X;X;X;X
tut_8c_12;В 'Виктории II' вы должны определить цели любой войны, которую вы начинаете. Все возможные цели войны показаны справа в окне объявления войны. Помните, что при заключении мира вы можете требовать только то, что указано в целях войны.\nНажмите на окно 'Ведущиеся войны', чтобы проверить свои цели войны.;X;X;X;X;X;X
tut_6b_14;Теперь нажмите 'Дальше' для продолжения.;X;X;X;X;X;X
tut_8a_7;Чтобы попытаться заключить союз с Соединенным Королевством, мы должны предпринять дипломатическую акцию. Дипломатические акции бывают самые разные - от предложения союза до объявления войны. Чтобы предпринять акцию, у нас должны быть очки дипломатии, они начисляются каждый месяц. На верхней панели мы видим, что у нас 1 очко. Как раз столько требуется для заключения союза. Нажмите кнопку заключения союза, а затем подтвердите свое решение заключить альянс с Британией.;X;X;X;X;X;X
tut_1a_40;После того, как вы увидите стрелку движения, снимите игру с паузы, чтобы продолжить ее.;X;X;X;X;X;X
tut_3a_21b;Попробуйте взять заем. Для этого нажмите кнопку 'Взять заем', доведите бегунок до нужной цифры, а затем нажмите на кнопку 'ОК'.;X;X;X;X;X;X
tut_8c_10;Если вы окажетесь под угрозой потери статуса, то заблаговременно получите предупреждение, и у вас будет время исправить положение. Одним из способов предотвратить катастрофу, безусловно, является война. Она может повысить ваш престиж или понизить престиж соперника. Найдите Францию и объявите ей войну. Для этого нажмите на кнопку 'Объявить войну', выберите цель войны и затем нажмите 'ОК'.;X;X;X;X;X;X
tut_7a_6b;Ниже расположена строчка с галочкой: 'Автоматизация'.\nОна устанавливает автоматическую закупку необходимых вашим армиям товаров.;X;X;X;X;X;X
tut_1a_4;Голландцы собирают силы на наших границах, мы должны отразить вторжение. Сначала нам нужно выбрать армию. \nДля этого нажмите на армию в Брюсселе.;X;X;X;X;X;X
tut_7a_8a;Обратите внимание на значок с надписью 'Покупать' под ним и бегунок рядом. Если вы установите бегунок на определенную величину запасов, игра автоматически будет пытаться закупать этот товар, пока запасы не достигнут нужного значения.;X;X;X;X;X;X
tut_1c_9;Как мы уже говорили, если группа жителей, связанная с солдатами, поднимает восстание, то вместе с ним начнут бунтовать и соответствующие бригады. Одна из ваших бригад обозначена значком мятежной фракции. Это значит, что ее группа жителей входит в эту фракцию. Такая ситуация весьма опасна. Можно выяснить статус этой группы жителей и волнующие ее вопросы, если щелкнуть по значку жителя в окне подразделения и открыть экран населения. Нажмите 'Дальше' для продолжения.;X;X;X;X;X;X
tut_7b_6;Каждый день мировой рынок устанавливает единые цены как функцию спроса и предложения. Текущий спрос и предложение определяют целевую цену, к которой постепенно будет стремиться фактическая цена. Следите за изменением цен! Если стрелковое оружие растет в цене, это повод построить новый завод. Стрелка рядом с ценой определяет, повышается ли цена (зеленый), остается неизменной (желтый) или падает (красный). Нажмите 'Дальше' для продолжения.;X;X;X;X;X;X
tut_7b_8;Следующий рисунок показывает отношение мирового рынка к конвоям клиперов. Значок на нижней полосе определяет, продаем мы или покупаем товар, и то, автоматизирована торговля или нет. Правительство может покупать и продавать товары на рынке двумя способами. Это прямые распоряжения на торговлю и автоматические сделки, которые происходят из-за других игровых действий. Нажмите на значок конвоя клиперов, чтобы увидеть автоматическую сделку.;X;X;X;X;X;X
tut_4c_12b;Давайте продолжим обучение по Армии.;X;X;X;X;X;X
tut_5b_12b;Щелкните на вкладке decisions tab для продолжения.;X;X;X;X;X;X
tut_5b_14b;Щелкните на вкладке movements tab для продолжения.;X;X;X;X;X;X
tut_menu_0;Введение;X;X;X;X;X;X
tut_menu_0_description;Этот учебный сценарий даст вам представление об игре 'Виктория II'.;X;X;X;X;X;X
tut_menu_1;Армия и флот;X;X;X;X;X;X
tut_menu_1_description;Познакомьтесь с управлением вашими армиями и флотами.;X;X;X;X;X;X
tut_menu_2;Производство;X;X;X;X;X;X
tut_menu_2_description;Познакомьтесь с производством товаров.;X;X;X;X;X;X
tut_menu_3;Бюджет;X;X;X;X;X;X
tut_menu_3_description;Познакомьтесь с бюджетом. Он состоит из налоговых поступлений и государственных расходов.;X;X;X;X;X;X
tut_menu_4;Технологии;X;X;X;X;X;X
tut_menu_4_description;Познакомьтесь с технологиями и наукой.;X;X;X;X;X;X
tut_menu_5;Политика;X;X;X;X;X;X
tut_menu_5_description;Познакомьтесь с искусством политики, партиями и реформами.;X;X;X;X;X;X
tut_menu_6;Население;X;X;X;X;X;X
tut_menu_6_description;Познакомьтесь с населением страны: кто эти люди, с кем они дружат, к какому классу относятся?;X;X;X;X;X;X
tut_menu_7;Торговля;X;X;X;X;X;X
tut_menu_7_description;Познакомьтесь с торговлей. Как правительства осуществляют покупки и продажи?;X;X;X;X;X;X
tut_menu_8;Дипломатия;X;X;X;X;X;X
tut_menu_8_description;Познакомьтесь с искусством дипломатии. Как объявлять войны и заключать союзы?;X;X;X;X;X;X
tut_1a_1;Вооруженные силы;X;X;X;X;X;X
tut_1a_2;Добро пожаловать в учебный сценарий 'Виктории II'. Здесь вы познакомитесь с военными аспектами игры.\nВы управляете Бельгией, маленькой страной с большим потенциалом. Но есть одна проблема: ваши соседи голландцы объявили вам войну.;X;X;X;X;X;X
tut_1a_3;Выбор подразделения;X;X;X;X;X;X
